address,choice,voting_power,timestamp,date_utc,author_ipfs_hash
0xcF1787e5718462438eAF880cB63f03bE3040dCD4,2,1,1672061102,"Mon, 26 Dec 2022 13:25:02 GMT",bafkreidisgt7ww2tyehiczi7qx7hluw4mdjyms5ltqpcpkayp7cufiaklu
0xef6ee1eCe8664605493e69De51F490c096BeEAA7,1,1,1672533354,"Sun, 01 Jan 2023 00:35:54 GMT",bafkreie7nlticjnvowyfinz2spftdieygznqwg5o5xkpdx723q3gg53joa
0x63EDe205d69EEbB50A8C51749FFC57843DD28941,2,1,1672148111,"Tue, 27 Dec 2022 13:35:11 GMT",bafkreidrtrwlw5lbew6kpw7hzxvj3pt6o76wiw2wdyxkbofp7xusqyjpoi
0xD878DcD3396b20Db9172e4B19Ea1DAa38EDC5269,1,1,1672034334,"Mon, 26 Dec 2022 05:58:54 GMT",bafkreiefp3ilpytx2ax2m5zkbziuc2b5kbbedabthzln3yqpuro324gxsu
0x68670106A9ea959a245ee688a9b9F4C164F424A5,2,1,1672061548,"Mon, 26 Dec 2022 13:32:28 GMT",bafkreie5nz4gafvdsvvuz4tciamjhdxle2fghiowu6idqx3eqwbdou4mde
0xa995371D8cE8333D04c935eAdba053D9DF0Df1Bb,2,1,1672035193,"Mon, 26 Dec 2022 06:13:13 GMT",bafkreiarrhwg46rrx2jdaqxkt3g55xmd6sn2qmlqio5qk2n6gbac367ywu
0xFbA99656ed9f89511B7E0B19238C4835253A7200,1,1,1672370863,"Fri, 30 Dec 2022 03:27:43 GMT",bafkreib6nnlan4zfgjlpwnuy7wlpzcgvuf63bsjfdbe52ph3uwxncfz4pi
0x808E9153ec494493F8c7C45A66CF3190Df93e25A,2,1,1672110614,"Tue, 27 Dec 2022 03:10:14 GMT",bafkreicsy5ztuasch4h4oa6dlqj5ziklmfzlr3m4mwvyt7mrs44wgspb6y
0xCAA713508eD800c75808ad51f035881Fb422a9E1,2,1,1672063795,"Mon, 26 Dec 2022 14:09:55 GMT",bafkreidvbvsahzaxweyni5m2b6p5bjjuj4pylqb4sjpaufpnmr2urzigii
0xF2cff9fc949CF3a17d755850bd81497Ee89B2286,1,1,1672124412,"Tue, 27 Dec 2022 07:00:12 GMT",bafkreifmxxf3zmrlbdl26v2btqsywagtrcs47q4lkkdpgbil343colmtji
0xF0124287fEA5e6dA001aBb0dD59dF3fb27876E90,2,1,1672032662,"Mon, 26 Dec 2022 05:31:02 GMT",QmUWpnNUucY7yDhP6JQbrTjsHhmALcbuFp6rsUz7z2x6yM
0x531935926A4e83015C9Fb8831D27469EB8ffEB97,2,1,1672043892,"Mon, 26 Dec 2022 08:38:12 GMT",bafkreibycrn7nxxi7g7mfhmg54kxuvzoapwd7fwliaqkwyvglegskrr7je
0x5C238A7935f0138EbeFcAEb133eA16E6c4a28F61,2,1,1672124393,"Tue, 27 Dec 2022 06:59:53 GMT",bafkreiabdy4xqzabzos5uilgk5f3dfbm7lenrn63f4ke5zxcms3lik4kyu
0x5E2A485aF8a2f3Bf9F6D8A6156A673dB44e4F70c,2,1,1672110128,"Tue, 27 Dec 2022 03:02:08 GMT",bafkreibpkb3inwnveqcpqvqkkxkvansofwp35n3774e57p2ureujilekzy
0x5965cb20D12803dd5F482d33831ac380954CA031,1,1,1672077596,"Mon, 26 Dec 2022 17:59:56 GMT",bafkreiftr3jhih7mhy6rrfdfjacy7457j67clfghh6k33edljunu4jad5a
0x4ec4f37a5aAd13D5431501108c21A380479B958C,2,1,1672050674,"Mon, 26 Dec 2022 10:31:14 GMT",bafkreibs7s5ywpoxgrzhwg7ynksvjj2wwjfwe3fiqbgxbjwitnv2ldxewu
0xd917bE7fD297fD516D5eaC5D99049792A9F195f7,3,1,1672039362,"Mon, 26 Dec 2022 07:22:42 GMT",bafkreid4x3qdhg3wm3dplciqqxllpifzy2ofafru43rkkul3spl7lligqu
0x48b933365b989904f0108AeaF4B545888B165890,2,1,1672156589,"Tue, 27 Dec 2022 15:56:29 GMT",bafkreibd3eq6pzycse3aqe2cop5wxkc7vukfujyl4brunptdruhpxycg4q
0x3f57b19e454CEAdE4A600d48b83112c681d392C7,2,1,1672048401,"Mon, 26 Dec 2022 09:53:21 GMT",bafkreiasdqz2mxbidcqbdhltlk4zdwbyzyn7hd5dtukpppubdvvvyic264
0x74581DC4e00E4DF360c9EA25b5f7028d0Cfba90E,1,1,1672031099,"Mon, 26 Dec 2022 05:04:59 GMT",bafkreig32vja4ftwdfbcwcyo6oculbg4bvxaspmjpyd36xjsl7cjfc6jrm
0xD078073F50edc5b59b8C28837C0f33bB21a6Ee8B,2,1,1672022916,"Mon, 26 Dec 2022 02:48:36 GMT",bafkreihe7ys6mxxpv3p2i2qi732itow5uf75xaxlzdjpas265esov2b4bu
0x36a4abCa1028Bc49a614E3C6e284224f628ed01C,2,1,1672123858,"Tue, 27 Dec 2022 06:50:58 GMT",bafkreighhdm2fpmiwf2pzne4nseajr4rvf2uhrcdtf7gvk6kcwan4hnjhy
0x8275495882193488d966db44780b5775d5c7E388,3,1,1672051424,"Mon, 26 Dec 2022 10:43:44 GMT",bafkreien274rk2j4oyus6ogbryzphiy5npmyzi4pqxisjnj67e27ihpwfq
0x9F3dAC6cD3E0700495887c5677eeA370C363E4ff,2,1,1672048125,"Mon, 26 Dec 2022 09:48:45 GMT",bafkreiendljiozeivazdiz7ttcenftnpvuakgtrhoaxucgcreqhps7f444
0xec507775c21eD0765ca6891eDE1cD4E3D1BFF184,3,1,1672053361,"Mon, 26 Dec 2022 11:16:01 GMT",bafkreiehuhezn546hbyuc57bgyvkmqltsvi7f3xl3ryft6xua7rimqczhy
0x5000D83a61BC8542A6e8B5bF0718f3F4d61388D9,2,1,1672112108,"Tue, 27 Dec 2022 03:35:08 GMT",bafkreifdelqlevdxow6vjjcnkuovxm2scrgjek77njjmsrvft64hnlqrna
0x364F4B2eEe8920b6E476Dfd4e531B6fd6bfC14Cf,2,1,1672023698,"Mon, 26 Dec 2022 03:01:38 GMT",bafkreibo3vf2i4dtedxsa3lpavldxdglax5bsk34ebiad2klrgeyxnygbm
0x727B22dE66CCfd3d04a1762c07f1020491Eb564E,2,1,1672090571,"Mon, 26 Dec 2022 21:36:11 GMT",bafkreidfxtcfguqk6m2ahnbeyqxjgjbgjg6h6p7iycq27p7m3dkiwkvi4e
0x117266Cdd328d8C59B85c68cb4D4AE6c71a78c5E,2,1,1672409931,"Fri, 30 Dec 2022 14:18:51 GMT",bafkreid2eybbno744ykqy6osxdugi6sq53c4lwulruuesrpwh2nb53nv6e
0x3720982350C92E75e63A1B590D9E4562b79B01B8,1,1,1672317452,"Thu, 29 Dec 2022 12:37:32 GMT",bafkreihsasqdimqkjgmv5cyyyxdq7eqewi5r43muzsyrdixdmnmbpjpf5q
0x82aDe6029D254Afb23E1a423b1638A1D18fd3290,2,1,1672026085,"Mon, 26 Dec 2022 03:41:25 GMT",bafkreiaki5t45enwp6xtwfxfvhz6fx6l4mlv2k4ajcff744vx5v34zuqle
0xB6C8CAbc2150083261d541a3011a658a36Ca55b9,1,1,1672025738,"Mon, 26 Dec 2022 03:35:38 GMT",bafkreifkibrtfd6orzvayznnziu26ajrf7gozrigtna7dxuvoveyjt2ney
0x6480637B84150c0BE8694bFCcEdA7b36D6885358,2,1,1672049708,"Mon, 26 Dec 2022 10:15:08 GMT",bafkreicfnhi5ohqzaerfqc5ipjr5vjnwyjcellglb6zi6ncwra2akwtwd4
0x04BC1344Be3d0Fe0F220F3C7d6af887517c1492C,2,1,1672144773,"Tue, 27 Dec 2022 12:39:33 GMT",bafkreigyuexycmhvpgimobdcfhsogqekguigmisbysvpszk22vvwie4j5y
0xfF47692E1b8903968677eb1dc5AE961CFaD4A490,2,1,1672251624,"Wed, 28 Dec 2022 18:20:24 GMT",bafkreictbdreplmjfpt4ywci433y6ae4njoqr5snaojjwcn5kyac6iunvm
0xf838055D17759a9Ba621F9BB9160E76A0Ed3e279,2,1,1672057568,"Mon, 26 Dec 2022 12:26:08 GMT",bafkreigt6bfyrkxr7n7naisdsgpufbacremk6gytygmkxof45rdu4nuyhe
0x724E991C833207bD571AdEccb74C9497DC543F71,2,1,1672236653,"Wed, 28 Dec 2022 14:10:53 GMT",bafkreiebwhu3vjo45gfebxcqxdhe7pl7ndjqohnadip2xko6sirav7c26a
0xf5Cd336c61B3f2B351d235ecBB22322735930abe,3,1,1672059219,"Mon, 26 Dec 2022 12:53:39 GMT",bafkreibghdcf3o7yuh2wgm3qyujkg5i2m577obbsnp4jnyrhy7gnwb2omy
0x1a8BE9426231680936939Bc6b15DFCc648267F31,2,1,1672069744,"Mon, 26 Dec 2022 15:49:04 GMT",bafkreib62ctd7fazoskmymwxdkmeknqrilik4giwkg2qqwhxfhnq7zardy
0x8cD2d405fE1BDe96594fb223Eb062Da2ddf935c5,2,1,1672149086,"Tue, 27 Dec 2022 13:51:26 GMT",bafkreicnxiks7jtdpc5aibbwy2eo4siyw3kmzxme5bvkaj7a6ntzn44jxm
0x75E29F79b03eb9836D8CDC0B1EdDCd686655Eb43,2,1,1672217375,"Wed, 28 Dec 2022 08:49:35 GMT",bafkreifoowbeqnn3kmnvlcogtds5a4qk3u4ip7dn2jkxh4padepzff7fhe
0x25FbAcC2e86cfdD7482fA5A84815150B0ebaae54,2,1,1672050377,"Mon, 26 Dec 2022 10:26:17 GMT",bafkreiccxrcxmrfijxwjs4nnlcuqonvz7ifmrq755dmdpyxhb7wz6bj74q
0x1C6AE595E9efD3eE1f301f25ba9a6807896741ba,3,1,1672059558,"Mon, 26 Dec 2022 12:59:18 GMT",bafkreic2puhymp4cn7o2wdyk6yk545vw6ov2st4hdlejzln2uu6zb7lk4y
0x3528264eDF98C7598b33d7292A64d3B5753F08d0,2,1,1672402306,"Fri, 30 Dec 2022 12:11:46 GMT",bafkreica7mwcoy3v7slqa6fmozphnnwquvywjkbqnsmvb44qcf2unkz4ee
